date,Score 1,Score 2,Score 3,Score 4,Score 5,Overall,Data
12/1/2018,35.78925868,34.82655585,47.16569767,72.17209121,98.93292683,57.77730605,Temperature
12/2/2018,32.27521827,32.73901617,46.22900517,71.95160796,96.96815718,56.03260095,Temperature
12/3/2018,34.70624051,32.81763475,46.9880491,72.17209121,98.5602981,57.04886273,Temperature
12/4/2018,33.15203316,34.23764631,44.54134367,72.08959089,98.21937322,56.44799745,Temperature
12/5/2018,31.11713021,23.13730453,44.90471576,72.15202356,99.02065527,54.06636587,Temperature
12/6/2018,31.34248513,28.37803432,43.1120801,72.0672935,92.69097222,53.51817305,Temperature
12/7/2018,28.92253642,18.1070596,46.90729974,72.17209121,98.39092141,52.89998168,Temperature
12/8/2018,29.86980489,20.99414698,46.55200258,72.12080723,97.64566396,53.43648513,Temperature
12/9/2018,31.20085549,23.35581086,45.19541344,72.12080723,97.17013889,53.80860518,Temperature
12/10/2018,30.88946864,23.18729245,43.79844961,72.12080723,96.58119658,53.3154429,Temperature
12/11/2018,32.46851448,23.97578892,47.03649871,72.15871278,98.66192412,54.8602878,Temperature
12/12/2018,35.76533542,38.57606211,46.51162791,72.08067193,97.56097561,58.0989346,Temperature
12/13/2018,35.38757223,34.5621795,46.01098191,72.17209121,98.92361111,57.41128719,Temperature
12/14/2018,34.37683572,25.75992887,47.24644703,72.17209121,99.10230352,55.73152127,Temperature
12/15/2018,36.36170183,42.40429591,47.27067183,72.17209121,99.15311653,59.47237546,Temperature
12/16/2018,35.36389945,40.2894931,47.22222222,72.17209121,99.05149051,58.8198393,Temperature
12/17/2018,34.75343709,37.16068549,46.31782946,71.92287048,97.15447154,57.46185881,Temperature
12/18/2018,35.15226063,39.69934414,45.90600775,71.81099319,98.69791667,58.25330447,Temperature
12/19/2018,36.31035534,39.3905324,45.88985788,71.80876345,98.66319444,58.4125407,Temperature
12/20/2018,33.57557398,31.5743739,45.40536176,71.77875328,97.62152778,55.99111814,Temperature
12/21/2018,34.90175833,28.76343436,45.49418605,71.37335904,97.8125,55.66904756,Temperature
12/22/2018,33.93848127,27.39527566,46.0755814,71.86227717,99.0625,55.6668231,Temperature
12/23/2018,35.21083851,34.68752446,45.7122093,71.80876345,98.28125,57.14011714,Temperature
12/24/2018,32.20035677,19.45448703,45.93830749,71.86227717,98.76736111,53.64455792,Temperature
12/25/2018,35.18042957,32.33041429,46.15633075,71.86227717,99.23611111,56.95311258,Temperature
12/26/2018,35.3111184,36.09200326,45.72028424,71.81099319,98.29861111,57.44660204,Temperature
12/27/2018,36.65447334,40.94367572,45.48611111,71.86227717,97.79513889,58.54833525,Temperature
12/28/2018,37.22941234,40.5316932,44.73514212,71.81099319,98.64672365,58.5907929,Temperature
12/29/2018,33.13158306,26.21973947,44.9127907,71.86227717,99.03846154,55.03297039,Temperature
12/30/2018,32.36398041,21.69186903,44.5494186,71.80876345,98.23717949,53.73024219,Temperature
12/31/2018,36.6424198,32.90802325,44.9370155,71.86227717,99.09188034,57.08832321,Temperature
12/1/2018,47.18567251,47.36842105,20.8494832,56.08381936,99.61419753,54.22031873,Humidity
12/2/2018,49.37865497,50,21.81847545,56.9749645,98.75730994,55.38588097,Humidity
12/3/2018,46.69225146,47.36842105,20.63145995,56.08381936,98.57253086,53.86969654,Humidity
12/4/2018,43.01697531,44.44444444,18.00710594,52.71109312,96.78819444,50.99356265,Humidity
12/5/2018,46.68209877,47.22222222,19.54134367,58.08514759,98.85620915,54.07740428,Humidity
12/6/2018,41.36636637,45.71428571,17.79715762,53.85359247,85.0308642,48.75245327,Humidity
12/7/2018,52.15643275,52.63157895,23.04586563,58.73955687,99.09722222,57.13413128,Humidity
12/8/2018,51.20614035,52.63157895,22.62596899,56.95799184,97.29166667,56.14266936,Humidity
12/9/2018,47.57882883,48.64864865,20.46996124,56.47701372,97.80092593,54.19507567,Humidity
12/10/2018,43.78858025,44.44444444,18.33010336,56.9749645,98.52430556,52.41247962,Humidity
12/11/2018,46.65570175,47.36842105,20.61531008,58.52459548,98.49537037,54.33187975,Humidity
12/12/2018,46.43640351,47.36842105,20.51841085,55.33417877,98.03240741,53.53796432,Humidity
12/13/2018,45.70195195,45.94594595,19.6624677,59.07152405,99.46895425,53.97016878,Humidity
12/14/2018,47.18567251,47.36842105,20.8494832,59.07152405,99.61419753,54.81785967,Humidity
12/15/2018,47.16739766,47.36842105,20.84140827,59.07152405,99.57561728,54.80487366,Humidity
