date,Score 1,Score 2,Score 3,Score 4,Score 5,Overall,Data
12/1/2018,97.22222222,95.67158973,48.61111111,60.10409376,99.53703704,80.22921077,Temperature
12/2/2018,96.44702842,93.20864273,48.22351421,60.10409376,98.74338624,79.34533307,Temperature
12/3/2018,96.56007752,93.49210288,48.28003876,60.10409376,98.85912698,79.45908798,Temperature
12/4/2018,91.60206718,91.08834964,45.80103359,60.10409376,96.0704607,76.93320098,Temperature
12/5/2018,92.42571059,90.57806274,46.2128553,60.10409376,99.35763889,77.73567226,Temperature
12/6/2018,89.53488372,91.89786375,44.76744186,60.10409376,93.90243902,76.04134442,Temperature
12/7/2018,94.31524548,92.16884723,47.15762274,60.10409376,98.91598916,78.53235967,Temperature
12/8/2018,93.71770026,90.34583918,46.85885013,60.10409376,98.28929539,77.86315574,Temperature
12/9/2018,91.08527132,87.64845775,45.54263566,60.10409376,97.91666667,76.45942503,Temperature
12/10/2018,90.18087855,88.34884024,45.09043928,60.10409376,94.5799458,75.66083953,Temperature
12/11/2018,94.68669251,92.50245247,47.34334625,60.10409376,99.30555556,78.78842811,Temperature
12/12/2018,93.26550388,90.12030489,46.63275194,60.10409376,97.81504065,77.58753902,Temperature
12/13/2018,94.58979328,92.62679505,47.29489664,60.10409376,99.20392954,78.76390165,Temperature
12/14/2018,94.84819121,93.14669496,47.42409561,60.10409376,99.47493225,78.99960156,Temperature
12/15/2018,94.75129199,92.90523799,47.37564599,60.10409376,99.37330623,78.90191519,Temperature
12/16/2018,94.68669251,92.52827972,47.34334625,60.10409376,99.30555556,78.79359356,Temperature
12/17/2018,94.39599483,91.91263834,47.19799742,60.10409376,99.00067751,78.52228037,Temperature
12/18/2018,94.37984496,91.87767885,47.18992248,60.10409376,98.98373984,78.50705598,Temperature
12/19/2018,94.36369509,91.85122779,47.18184755,60.10409376,98.96680217,78.49353327,Temperature
12/20/2018,93.92764858,89.52039686,46.96382429,60.10409376,98.50948509,77.80508972,Temperature
12/21/2018,93.95994832,88.26401908,46.97997416,60.10409376,98.54336043,77.57027915,Temperature
12/22/2018,94.75129199,92.90364414,47.37564599,60.10409376,99.37330623,78.90159642,Temperature
12/23/2018,94.37984496,91.88618728,47.18992248,60.10409376,98.98373984,78.50875766,Temperature
12/24/2018,94.12144703,90.85521619,47.06072351,60.10409376,98.71273713,78.17084352,Temperature
12/25/2018,94.84819121,93.14458046,47.42409561,60.10409376,99.47493225,78.99917866,Temperature
12/26/2018,93.66925065,89.90417567,46.83462532,60.10409376,98.23848238,77.75012556,Temperature
12/27/2018,93.54005168,92.93860363,46.77002584,60.10409376,98.10298103,78.29115119,Temperature
